Company_Code,Vendor_Code,Vendor_Name,PAN,Person_Code,Bill_Date,Bill_No,PO_Number,GL,GL_Description,Description,Bill_Amount,Basic_Amount,Posting_Date,Document_Type,Document_No,TDS_Section_Code,TDS_Section,TDS_Rate,TDS_Amount
1001,D0011H,Voltas Ltd,VOLCD7228J,14102591,4/1/2026,INV/2026/00011,3400000011,16290053,COMP-393(1)8(ii),194Q payment - Voltas Ltd,3119686.37,2643802.01,4/6/2026,KA,2310000011,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2643.8
1001,D0011H,Voltas Ltd,VOLCD7228J,13943665,4/1/2026,INV/2026/00012,3400000012,16290053,COMP-393(1)8(ii),194Q payment - Voltas Ltd,3172087.85,2688210.04,4/7/2026,KA,2310000012,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2688.21
1079,D0012E,Godrej & Boyce Mfg Co Ltd,GODCD8938D,14602861,4/1/2026,INV/2026/00013,3400000013,50258000,Purch Offset Account,194Q payment - Godrej & Boyce Mfg Co Ltd,2975101.66,2521272.59,4/5/2026,KA,2310000013,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2521.27
1079,D0012E,Godrej & Boyce Mfg Co Ltd,GODCD8938D,14987521,4/1/2026,INV/2026/00014,3400000014,50080002,Retro Price Chan-Mat,194Q payment - Godrej & Boyce Mfg Co Ltd,3478350.17,2947754.38,4/6/2026,KA,2310000014,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2947.75
1079,D0012E,Godrej & Boyce Mfg Co Ltd,GODCD8938D,5807487,4/1/2026,INV/2026/00015,,16290054,OTH-393(1)8(ii),194Q payment - Godrej & Boyce Mfg Co Ltd,3428399.39,2905423.21,4/7/2026,KA,2310000015,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2905.42
1081,D0014D,Asian Paints Ltd,ASICD8115B,14380974,4/1/2026,INV/2026/00016,,50080002,Retro Price Chan-Mat,194Q payment - Asian Paints Ltd,2895290.22,2453635.78,4/5/2026,KR,2510000016,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2453.64
1081,D0014D,Asian Paints Ltd,ASICD8115B,24309919,4/1/2026,INV/2026/00017,,16290054,OTH-393(1)8(ii),194Q payment - Asian Paints Ltd,3384205.74,2867970.97,4/6/2026,KA,2310000017,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2867.97
1081,D0014D,Asian Paints Ltd,ASICD8115B,16724644,4/1/2026,INV/2026/00018,3400000018,50080002,Retro Price Chan-Mat,194Q payment - Asian Paints Ltd,3205540.59,2716559.82,4/7/2026,KR,2510000018,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2716.56
1001,D0020F,Schaeffler India Ltd,SCHCD3146B,13212443,4/1/2026,INV/2026/00019,,16290054,OTH-393(1)8(ii),194Q payment - Schaeffler India Ltd,3258114.48,2761113.97,4/5/2026,KA,2310000019,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2761.11
1001,D0020F,Schaeffler India Ltd,SCHCD3146B,5939521,4/1/2026,INV/2026/00020,3400000020,16290054,OTH-393(1)8(ii),194Q payment - Schaeffler India Ltd,2780076.39,2355996.94,4/6/2026,KR,2510000020,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2356.0
1001,D0020F,Schaeffler India Ltd,SCHCD3146B,22150560,4/3/2026,INV/2026/00021,3400000021,50080002,Retro Price Chan-Mat,194Q payment - Schaeffler India Ltd,2911437.64,2467320.03,4/7/2026,KR,2510000021,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2467.32
1079,D0022B,Emerson Process Management India Pvt Ltd,EMECD9051B,14956291,4/2/2026,INV/2026/00022,,50258000,Purch Offset Account,194Q payment - Emerson Process Management Ind,2494425.4,2113919.83,4/5/2026,KA,2310000022,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2113.92
1079,D0022B,Emerson Process Management India Pvt Ltd,EMECD9051B,20285536,4/5/2026,INV/2026/00023,3400000023,16290054,OTH-393(1)8(ii),194Q payment - Emerson Process Management Ind,3282723.4,2781968.98,4/6/2026,KR,2510000023,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2781.97
1079,D0022B,Emerson Process Management India Pvt Ltd,EMECD9051B,8569708,4/6/2026,INV/2026/00024,3400000024,16290054,OTH-393(1)8(ii),194Q payment - Emerson Process Management Ind,3427733.96,2904859.29,4/7/2026,KA,2310000024,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2904.86
1001,D0025H,Endress Hauser India Pvt Ltd,ENDCD0217T,24158989,4/1/2026,INV/2026/00025,3400000025,54410009,Commission Expense,194H payment - Endress Hauser India Pvt Ltd,195316.9,165522.8,4/9/2026,AC,1100000025,HP,Comm/Brokerg Ind/HUF/Firm2%NS393(1)1(ii),2,-3310.46
1079,D0026D,Atlas Copco India Ltd,ATLCD6727M,2176773,5/18/2026,INV/2026/00026,,54080001,Interest Expense - Others,194A payment - Atlas Copco India Ltd,55015.64,46623.42,5/24/2026,AC,1100000026,AP,Interest Other Than Securities@10%,10,-4662.34
1081,D0027C,Ingersoll Rand India Ltd,INGCD3014J,5961565,6/13/2026,INV/2026/00027,3400000027,54470200,INCENTIVE SPARE PART,194R payment - Ingersoll Rand India Ltd,316935.5,268589.41,6/15/2026,AC,1100000027,MI,Ben. 194R @ 10% COM PAN-N/S-393(1)8(iv),10,-26858.94
1001,D0028G,Danfoss Industries Pvt Ltd,DANCD2051Z,13542438,6/16/2026,INV/2026/00028,,16290008,GR/IR-Indirect Good,194C payment - Danfoss Industries Pvt Ltd,82376.12,69810.27,7/3/2026,AC,1100000028,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-1396.21
1079,D0029B,Sandvik Asia Pvt Ltd,SANCD4390G,17771498,8/20/2026,INV/2026/00029,3400000029,16290019,Non-Comp-393(1)6(ii),194J payment - Sandvik Asia Pvt Ltd,619504.99,525004.23,8/28/2026,KR,2510000029,JI,TechServFees@2%-IndHUF:NS393(1)6(iii)(a),2,-10500.08
1081,D0030C,Kennametal India Ltd,KENCD6442L,18772391,9/6/2026,INV/2026/00030,3400000030,50258000,Purch Offset Account,194Q payment - Kennametal India Ltd,1368314.19,1159588.3,9/6/2026,KR,2510000030,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-1159.59
1001,D0031D,Mitsubishi Electric India Pvt Ltd,MITCD9977Y,23006818,9/25/2026,INV/2026/00031,3400000031,16290008,GR/IR-Indirect Good,194C payment - Mitsubishi Electric India Pvt ,605295.99,512962.7,10/4/2026,AC,1100000031,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-10259.25
1079,D0032G,Fanuc India Pvt Ltd,FANCD2481Z,23425762,11/13/2026,INV/2026/00032,3400000032,16290019,Non-Comp-393(1)6(ii),194J payment - Fanuc India Pvt Ltd,669728.79,567566.77,11/28/2026,KZ,2610000032,JI,TechServFees@2%-IndHUF:NS393(1)6(iii)(a),2,-11351.34
1081,D0033G,Yaskawa India Pvt Ltd,YASCD5509L,14190626,12/3/2026,INV/2026/00033,,16290054,OTH-393(1)8(ii),194Q payment - Yaskawa India Pvt Ltd,922490.57,781771.67,12/5/2026,AC,1100000033,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-781.77
1001,D0034F,Omron Automation Pvt Ltd,OMRCD4491E,6803513,1/4/2027,INV/2026/00034,3400000034,54150001,Rent - Office Building,194I payment - Omron Automation Pvt Ltd,270431.5,229179.24,1/24/2027,KZ,2610000034,IP,LandBldg/Fur Ind/HUF/Fim10%NS393(1)2(ii),10,-22917.92
1079,D0035D,Phoenix Contact India Pvt Ltd,PHOCD6041O,2435699,2/7/2027,INV/2026/00035,,54410009,Commission Expense,194H payment - Phoenix Contact India Pvt Ltd,102477.52,86845.36,2/17/2027,KZ,2610000035,HP,Comm/Brokerg Ind/HUF/Firm2%NS393(1)1(ii),2,-1736.91
1081,D0036E,Wago Controls India Pvt Ltd,WAGCD4099Y,3171563,3/5/2027,INV/2026/00036,3400000036,16290008,GR/IR-Indirect Good,194C payment - Wago Controls India Pvt Ltd,234669.41,198872.38,3/6/2027,KA,2310000036,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-3977.45
1001,D0037C,Rittal India Pvt Ltd,RITCD1454H,23421727,4/1/2026,INV/2026/00037,3400000037,54470200,INCENTIVE SPARE PART,194R payment - Rittal India Pvt Ltd,344857.66,292252.25,4/17/2026,KR,2510000037,MI,Ben. 194R @ 10% COM PAN-N/S-393(1)8(iv),10,-29225.22
1079,D0038D,Hager Electro Pvt Ltd,HAGCD7272R,10014575,4/21/2026,INV/2026/00038,,16290008,GR/IR-Indirect Good,194C payment - Hager Electro Pvt Ltd,811850.37,688008.79,5/11/2026,KZ,2610000038,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-13760.18
1081,D0039F,Legrand India Pvt Ltd,LEGCD6149O,18902132,5/16/2026,INV/2026/00039,3400000039,54200001,Non-Comp-393(1)6(ii),194J payment - Legrand India Pvt Ltd,460099.23,389914.6,6/1/2026,AC,1100000039,JP,Prof. Serv. Fees@10%-CO-NS393(1)6(iii)(b,1,-3899.15
1001,D0040A,Havells India Ltd,HAVCD5593M,8479825,7/3/2026,INV/2026/00040,3400000040,16290053,COMP-393(1)8(ii),194Q payment - Havells India Ltd,2695212.49,2284078.38,7/13/2026,KA,2310000040,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2284.08
1079,D0041H,Polycab India Ltd,POLCD9182W,10033534,7/24/2026,INV/2026/00041,3400000041,16290008,GR/IR-Indirect Good,194C payment - Polycab India Ltd,860227.03,729005.96,8/10/2026,KZ,2610000041,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-14580.12
1081,D0042G,KEI Industries Ltd,KEICD1017N,21003716,9/10/2026,INV/2026/00042,,54200001,Non-Comp-393(1)6(ii),194J payment - KEI Industries Ltd,621301.58,526526.76,9/16/2026,KZ,2610000042,JP,Prof. Serv. Fees@10%-CO-NS393(1)6(iii)(b,10,-52652.68
1001,D0043F,Finolex Cables Ltd,FINCD1530G,12847688,10/5/2026,INV/2026/00043,3400000043,50258000,Purch Offset Account,194Q payment - Finolex Cables Ltd,2094920.93,1775356.72,10/10/2026,KA,2310000043,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0,0.0
1079,D0044G,RR Kabel Ltd,RRKCD9844F,23511979,11/13/2026,INV/2026/00044,,54150001,Rent - Office Building,194I payment - RR Kabel Ltd,103499.99,87711.86,11/25/2026,AC,1100000044,IP,LandBldg/Fur Ind/HUF/Fim10%NS393(1)2(ii),0.5,-438.56
1081,D0045E,Sterlite Technologies Ltd,STECD2659Z,17140442,11/26/2026,INV/2026/00045,,54410009,Commission Expense,194H payment - Sterlite Technologies Ltd,127913.33,108401.13,12/11/2026,AC,1100000045,HP,Comm/Brokerg Ind/HUF/Firm2%NS393(1)1(ii),2,-2168.02
1001,D0046F,JSW Steel Ltd,JSWCD3957Z,9448570,1/8/2027,INV/2026/00046,3400000046,16290008,GR/IR-Indirect Good,194C payment - JSW Steel Ltd,164191.04,139144.95,1/14/2027,KR,2510000046,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-2782.9
1079,D0047G,Jindal Steel & Power Ltd,JINCD7556M,13653666,1/29/2027,INV/2026/00047,3400000047,54470200,INCENTIVE SPARE PART,194R payment - Jindal Steel & Power Ltd,320994.82,272029.51,2/10/2027,AC,1100000047,MI,Ben. 194R @ 10% COM PAN-N/S-393(1)8(iv),10,-27202.95
1081,D0048A,SAIL Bhilai Steel Plant,SAICT0013B,2330968,2/14/2027,INV/2026/00048,3400000048,16290008,GR/IR-Indirect Good,194C payment - SAIL Bhilai Steel Plant,693666.07,587852.6,3/3/2027,KZ,2610000048,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-11757.05
1001,D0049E,Essar Steel India Ltd,ESSCD2172D,16490405,4/1/2026,INV/2026/00049,3400000049,54210099,Professional- Others,194J payment - Essar Steel India Ltd,742494.93,629232.99,4/5/2026,KA,2310000049,JP,Prof. Serv. Fees@10%-CO-NS393(1)6(iii)(b,10,-62923.3
1079,D0050A,Rashtriya Ispat Nigam Ltd,RASCD3491U,12136854,5/9/2026,INV/2026/00050,,16290053,COMP-393(1)8(ii),194Q payment - Rashtriya Ispat Nigam Ltd,1795069.94,1521245.71,5/19/2026,KR,2510000050,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-1521.25
1081,D0051A,Ultratech Cement Ltd,ULTCD8543N,23689120,5/24/2026,INV/2026/00051,3400000051,16290008,GR/IR-Indirect Good,194C payment - Ultratech Cement Ltd,264125.96,223835.56,6/7/2026,KR,2510000051,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-4476.71
1001,D0052E,Ambuja Cements Ltd,AMBCD1982A,10575950,7/16/2026,INV/2026/00052,3400000052,16290019,Non-Comp-393(1)6(ii),194J payment - Ambuja Cements Ltd,226626.85,192056.65,7/16/2026,AC,1100000052,JP,Prof. Serv. Fees@10%-CO-NS393(1)6(iii)(b,1,-1920.57
1079,D0053F,ACC Ltd,ACCCD7208I,3318878,7/14/2026,INV/2026/00053,3400000053,16290053,COMP-393(1)8(ii),194Q payment - ACC Ltd,1681984.51,1425410.6,8/1/2026,KA,2310000053,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-1425.41
1081,D0054F,Shree Cement Ltd,SHRCD9894S,5256591,8/31/2026,INV/2026/00054,3400000054,54150002,RENTAL CHARGES - IT ASSETS,194I payment - Shree Cement Ltd,219910.48,186364.81,9/18/2026,AC,1100000054,IP,LandBldg/Fur Ind/HUF/Fim10%NS393(1)2(ii),10,-18636.48
1001,D0055B,Dalmia Bharat Ltd,DALCD6929W,11837776,10/3/2026,INV/2026/00055,3400000055,54410009,Commission Expense,194H payment - Dalmia Bharat Ltd,173509.86,147042.25,10/20/2026,KZ,2610000055,HP,Comm/Brokerg Ind/HUF/Firm2%NS393(1)1(ii),2,-2940.84
1079,D0056G,JK Cement Ltd,JKCCD3750V,23487954,10/24/2026,INV/2026/00056,3400000056,54080001,Interest Expense - Others,194A payment - JK Cement Ltd,152520.56,129254.71,11/3/2026,KA,2310000056,AP,Interest Other Than Securities@10%,10,-12925.47
1081,D0057D,Pidilite Industries Ltd,PIDCD6150I,1148699,12/2/2026,INV/2026/00057,3400000057,54470200,INCENTIVE SPARE PART,194R payment - Pidilite Industries Ltd,299357.01,253692.38,12/22/2026,AC,1100000057,MI,Ben. 194R @ 10% COM PAN-N/S-393(1)8(iv),10,-25369.24
1001,D0058D,Berger Paints India Ltd,BERCD0081M,24895447,12/30/2026,INV/2026/00058,3400000058,16290008,GR/IR-Indirect Good,194C payment - Berger Paints India Ltd,356969.53,302516.55,1/6/2027,KA,2310000058,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-6050.33
1079,D0059F,Kansai Nerolac Paints Ltd,KANCD5881X,16525950,1/31/2027,INV/2026/00059,3400000059,54200001,Non-Comp-393(1)6(ii),194J payment - Kansai Nerolac Paints Ltd,978157.14,828946.73,2/4/2027,AC,1100000059,JP,Prof. Serv. Fees@10%-CO-NS393(1)6(iii)(b,10,-82894.67
1081,D0060B,Supreme Industries Ltd,SUPCD8250N,13545198,3/13/2027,INV/2026/00060,3400000060,16290053,COMP-393(1)8(ii),194Q payment - Supreme Industries Ltd,1402509.33,1188567.23,3/13/2027,KR,2510000060,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-1188.57
1001,D0061H,Astral Ltd,ASTCD9928P,19763668,4/17/2026,INV/2026/00061,,16290008,GR/IR-Indirect Good,194C payment - Astral Ltd,700089.79,593296.43,4/22/2026,KR,2510000061,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-11865.93
1079,D0062E,Finolex Industries Ltd,FINCD8238P,2898893,4/27/2026,INV/2026/00062,3400000062,54200001,Non-Comp-393(1)6(ii),194J payment - Finolex Industries Ltd,364463.79,308867.62,5/2/2026,KZ,2610000062,JP,Prof. Serv. Fees@10%-CO-NS393(1)6(iii)(b,10,-30886.76
1081,D0063G,Prince Pipes & Fittings Ltd,PRICD7583P,16302433,6/13/2026,INV/2026/00063,3400000063,16290054,OTH-393(1)8(ii),194Q payment - Prince Pipes & Fittings Ltd,2486143.45,2106901.23,6/26/2026,KZ,2610000063,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-2106.9
1001,D0064C,Ashirvad Pipes Pvt Ltd,ASHCD7049B,21509497,7/3/2026,INV/2026/00064,3400000064,54150002,RENTAL CHARGES - IT ASSETS,194I payment - Ashirvad Pipes Pvt Ltd,275927.32,233836.71,7/23/2026,KA,2310000064,IP,PlantMach Rent@2%-NS393(1)2(i),2,-4676.73
1079,D0065A,Crompton Greaves Consumer Electricals Ltd,CROCD1010A,22091334,8/13/2026,INV/2026/00065,3400000065,54410009,Commission Expense,194H payment - Crompton Greaves Consumer Elec,35594.22,30164.59,8/24/2026,KR,2510000065,HP,Comm/Brokerg Ind/HUF/Firm2%NS393(1)1(ii),2,-603.29
1081,D0066G,Bajaj Electricals Ltd,BAJCD1458A,9760968,9/12/2026,INV/2026/00066,3400000066,54080001,Interest Expense - Others,194A payment - Bajaj Electricals Ltd,111753.58,94706.42,9/16/2026,KZ,2610000066,AP,Interest Other Than Securities@10%,0.5,-473.53
1001,D0067C,Orient Electric Ltd,ORICD0476S,11306959,10/2/2026,INV/2026/00067,3400000067,54470200,INCENTIVE SPARE PART,194R payment - Orient Electric Ltd,196087.43,166175.79,10/18/2026,AC,1100000067,MI,Ben. 194R @ 10% COM PAN-N/S-393(1)8(iv),10,-16617.58
1079,D0068A,V Guard Industries Ltd,VGUCD8445P,2831114,10/25/2026,INV/2026/00068,3400000068,16290008,GR/IR-Indirect Good,194C payment - V Guard Industries Ltd,877700.59,743814.06,11/3/2026,AC,1100000068,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-14876.28
1081,D0069E,Havells Lloyd Ltd,HAVCD0059B,1046143,11/19/2026,INV/2026/00069,3400000069,16290019,Non-Comp-393(1)6(ii),194J payment - Havells Lloyd Ltd,676434.22,573249.34,12/8/2026,AC,1100000069,JI,TechServFees@2%-IndHUF:NS393(1)6(iii)(a),2,-11464.99
1001,D0070B,TVS Supply Chain Solutions Ltd,TVSCD1091X,14017067,1/9/2027,INV/2026/00070,,16290054,OTH-393(1)8(ii),194Q payment - TVS Supply Chain Solutions Ltd,1556158.98,1318778.8,1/26/2027,KA,2310000070,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-1318.78
1079,D0071B,Allcargo Logistics Ltd,ALLCD7053B,2551373,1/26/2027,INV/2026/00071,3400000071,16290008,GR/IR-Indirect Good,194C payment - Allcargo Logistics Ltd,584143.79,495037.11,2/1/2027,AC,1100000071,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-9900.74
1081,D0072H,Gateway Distriparks Ltd,GATCD6192M,4420557,2/20/2027,INV/2026/00072,3400000072,54210099,Professional- Others,194J payment - Gateway Distriparks Ltd,294574.92,249639.76,3/6/2027,AC,1100000072,JP,Prof. Serv. Fees@10%-CO-NS393(1)6(iii)(b,10,-24963.98
1001,D0073E,Container Corporation of India Ltd,CONCD5809L,14149844,4/11/2026,INV/2026/00073,3400000073,16290054,OTH-393(1)8(ii),194Q payment - Container Corporation of India,1757403.24,1489324.78,4/25/2026,KZ,2610000073,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-1489.32
1079,D0074G,Delhivery Ltd,DELCD1993Q,18805579,5/4/2026,INV/2026/00074,3400000074,54150002,RENTAL CHARGES - IT ASSETS,194I payment - Delhivery Ltd,71901.27,60933.28,5/19/2026,KR,2510000074,IP,LandBldg/Fur Ind/HUF/Fim10%NS393(1)2(ii),10,-6093.33
1081,D0075E,Blue Dart Express Ltd,BLUCD4875D,10111471,5/28/2026,INV/2026/00075,3400000075,54410009,Commission Expense,194H payment - Blue Dart Express Ltd,153337.77,129947.26,6/9/2026,AC,1100000075,HP,Comm/Brokerg Ind/HUF/Firm2%NS393(1)1(ii),2,-2598.95
1001,D0076E,Gati Ltd,GATCD5454I,24619997,6/23/2026,INV/2026/00076,,54080001,Interest Expense - Others,194A payment - Gati Ltd,31435.27,26640.06,7/10/2026,KA,2310000076,AP,Interest Other Than Securities@10%,10,-2664.01
1079,D0077B,TCI Express Ltd,TCICD5609G,11268360,8/25/2026,INV/2026/00077,3400000077,54470200,INCENTIVE SPARE PART,194R payment - TCI Express Ltd,144836.65,122742.92,8/27/2026,KA,2310000077,MI,Ben. 194R @ 10% COM PAN-N/S-393(1)8(iv),10,-12274.29
1081,D0078E,Safe Express Pvt Ltd,SAFCD2253O,5689979,8/19/2026,INV/2026/00078,,16290008,GR/IR-Indirect Good,194C payment - Safe Express Pvt Ltd,294896.33,249912.14,9/8/2026,KR,2510000078,CP,Cont. Cos - 2%-New Sec-393(1)6(i),1,-2499.12
1001,D0079H,Om Logistics Ltd,OMLCD7339J,6774594,9/30/2026,INV/2026/00079,3400000079,16290019,Non-Comp-393(1)6(ii),194J payment - Om Logistics Ltd,631610.73,535263.33,10/6/2026,KZ,2610000079,JP,Prof. Serv. Fees@10%-CO-NS393(1)6(iii)(b,10,-53526.33
1079,D0080G,Sical Logistics Ltd,SICCD4392R,18715434,11/9/2026,INV/2026/00080,3400000080,16290053,COMP-393(1)8(ii),194Q payment - Sical Logistics Ltd,1517612.88,1286112.61,11/24/2026,KA,2310000080,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-1286.11
1081,D0081G,VRL Logistics Ltd,VRLCD9451Z,13102314,12/11/2026,INV/2026/00081,3400000081,16290008,GR/IR-Indirect Good,194C payment - VRL Logistics Ltd,785227.72,665447.22,12/26/2026,KR,2510000081,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-13308.94
1001,D0082G,Transport Corporation of India Ltd,TRACD9598B,18515990,12/21/2026,INV/2026/00082,3400000082,16290019,Non-Comp-393(1)6(ii),194J payment - Transport Corporation of India,291408.62,246956.46,1/9/2027,KR,2510000082,JI,TechServFees@2%-IndHUF:NS393(1)6(iii)(a),2,-4939.13
1079,D0083G,Ernst & Young LLP,ERNCP3679S,11985136,1/27/2027,INV/2026/00083,,16290053,COMP-393(1)8(ii),194Q payment - Ernst & Young LLP,1186394.3,1005418.9,2/2/2027,KR,2510000083,LP,Purc of Good-0.1%PMTCOM-PNS393(1)8(ii),0.1,-1005.42
1081,D0084A,Deloitte Touche Tohmatsu India LLP,DELCP7853V,12318705,3/27/2027,INV/2026/00084,3400000084,54150002,RENTAL CHARGES - IT ASSETS,194I payment - Deloitte Touche Tohmatsu India,319432.17,270705.23,3/28/2027,KR,2510000084,IP,PlantMach Rent@2%-NS393(1)2(i),0,0.0
1001,D0085F,PricewaterhouseCoopers Pvt Ltd,PRICD9963S,11154933,4/2/2026,INV/2026/00085,3400000085,54410009,Commission Expense,194H payment - PricewaterhouseCoopers Pvt Ltd,120040.02,101728.83,4/2/2026,KA,2310000085,HP,Comm/Brokerg Ind/HUF/Firm2%NS393(1)1(ii),2,-2034.58
1079,D0086D,KPMG Assurance & Consulting Services LLP,KPMCP8853P,3127975,5/19/2026,INV/2026/00086,3400000086,16290008,GR/IR-Indirect Good,194C payment - KPMG Assurance & Consulting Se,858820.82,727814.25,5/22/2026,AC,1100000086,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-14556.28
1081,D0087G,Grant Thornton Bharat LLP,GRACP6902B,21212587,6/7/2026,INV/2026/00087,3400000087,54470200,INCENTIVE SPARE PART,194R payment - Grant Thornton Bharat LLP,309105.24,261953.59,6/24/2026,KR,2510000087,MI,Ben. 194R @ 10% COM PAN-N/S-393(1)8(iv),10,-26195.36
1001,D0088A,BDO India LLP,BDOCP2894U,5863486,7/2/2026,INV/2026/00088,3400000088,16290008,GR/IR-Indirect Good,194C payment - BDO India LLP,409205.43,346784.26,7/2/2026,AC,1100000088,CP,Cont. Cos - 2%-New Sec-393(1)6(i),2,-6935.69
